support_num,ckpt_support_num,ckpt_iter_num,step,IoU,Acc,Dice
500,200,40,90,87.94,93.59,93.59
10,200,50,0,85.64,92.26,92.26
10,200,50,10,83.56,91.04,91.04
10,200,50,20,84.38,91.53,91.53
10,200,50,30,84.13,91.38,91.38
10,200,50,40,84.18,91.41,91.41
10,200,50,50,82.45,90.38,90.38
10,200,50,60,83.05,90.74,90.74
10,200,50,70,82.75,90.56,90.56
10,200,50,80,82.55,90.44,90.44
10,200,50,90,87.07,93.09,93.09
100,200,50,0,83.5,91.01,91.01
100,200,50,10,88.87,94.11,94.11
100,200,50,20,86.9,92.99,92.99
100,200,50,30,85.73,92.32,92.32
100,200,50,40,85.26,92.04,92.04
100,200,50,50,84.83,91.79,91.79
100,200,50,60,86.36,92.68,92.68
100,200,50,70,85.26,92.04,92.04
100,200,50,80,84.0,91.3,91.3
100,200,50,90,85.3,92.06,92.06
200,200,50,0,83.2,90.83,90.83
200,200,50,10,82.1,90.17,90.17
200,200,50,20,84.23,91.44,91.44
200,200,50,30,89.01,94.18,94.18
200,200,50,40,83.03,90.73,90.73
200,200,50,50,84.96,91.87,91.87
200,200,50,60,85.78,92.35,92.35
200,200,50,70,80.35,89.11,89.11
200,200,50,80,84.53,91.62,91.62
200,200,50,90,83.83,91.21,91.21
500,200,50,0,83.97,91.29,91.29
500,200,50,10,72.14,83.82,83.82
500,200,50,20,85.85,92.38,92.38
500,200,50,30,82.56,90.45,90.45
500,200,50,40,85.35,92.1,92.1
500,200,50,50,86.07,92.51,92.51
500,200,50,60,86.85,92.96,92.96
500,200,50,70,86.99,93.04,93.04
500,200,50,80,85.95,92.45,92.45
500,200,50,90,87.82,93.52,93.52
10,500,20,0,85.74,92.32,92.32
10,500,20,10,86.92,93.0,93.0
10,500,20,20,85.85,92.39,92.39
10,500,20,30,86.42,92.71,92.71
10,500,20,40,84.63,91.67,91.67
10,500,20,50,82.94,90.67,90.67
10,500,20,60,81.76,89.96,89.96
10,500,20,70,81.26,89.66,89.66
